Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of DNA-dependent DNA replication initiation (GO:0030174)	1/6	2.996578e-03	3.821252e-02	0	0	4.441111e+02	2.580412e+03	CDT1
GO_Biological_Process_2021	nucleobase catabolic process (GO:0046113)	1/7	3.495224e-03	3.821252e-02	0	0	3.700741e+02	2.093271e+03	DPYSL5
GO_Biological_Process_2021	pyrimidine nucleobase catabolic process (GO:0006208)	1/8	3.993646e-03	3.821252e-02	0	0	3.171905e+02	1.751859e+03	DPYSL5
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	2/194	4.002003e-03	3.821252e-02	0	0	2.577865e+01	1.423229e+02	ANKRD13B;FGF19
GO_Biological_Process_2021	positive regulation of chromatin binding (GO:0035563)	1/9	4.491844e-03	3.821252e-02	0	0	2.775278e+02	1.500174e+03	CDT1
GO_Biological_Process_2021	regulation of bile acid biosynthetic process (GO:0070857)	1/10	4.989818e-03	3.821252e-02	0	0	2.466790e+02	1.307487e+03	FGF19
GO_Biological_Process_2021	negative regulation of steroid biosynthetic process (GO:0010894)	1/11	5.487568e-03	3.821252e-02	0	0	2.220000e+02	1.155570e+03	FGF19
GO_Biological_Process_2021	positive regulation of DNA-dependent DNA replication (GO:2000105)	1/11	5.487568e-03	3.821252e-02	0	0	2.220000e+02	1.155570e+03	CDT1
GO_Biological_Process_2021	regulation of DNA-dependent DNA replication (GO:0090329)	1/12	5.985094e-03	3.821252e-02	0	0	2.018081e+02	1.032951e+03	CDT1
GO_Biological_Process_2021	attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	1/12	5.985094e-03	3.821252e-02	0	0	2.018081e+02	1.032951e+03	CDT1
GO_Biological_Process_2021	pyrimidine nucleobase metabolic process (GO:0006206)	1/12	5.985094e-03	3.821252e-02	0	0	2.018081e+02	1.032951e+03	DPYSL5
GO_Biological_Process_2021	negative regulation of receptor internalization (GO:0002091)	1/12	5.985094e-03	3.821252e-02	0	0	2.018081e+02	1.032951e+03	ANKRD13B
GO_Biological_Process_2021	regulation of chromatin binding (GO:0035561)	1/12	5.985094e-03	3.821252e-02	0	0	2.018081e+02	1.032951e+03	CDT1
GO_Biological_Process_2021	kinetochore organization (GO:0051383)	1/13	6.482395e-03	3.843134e-02	0	0	1.849815e+02	9.320597e+02	CDT1
GO_Biological_Process_2021	positive regulation of DNA replication (GO:0045740)	1/17	8.469366e-03	4.135044e-02	0	0	1.387083e+02	6.618190e+02	CDT1
GO_Biological_Process_2021	pyrimidine-containing compound catabolic process (GO:0072529)	1/17	8.469366e-03	4.135044e-02	0	0	1.387083e+02	6.618190e+02	DPYSL5
GO_Biological_Process_2021	DNA replication checkpoint signaling (GO:0000076)	1/17	8.469366e-03	4.135044e-02	0	0	1.387083e+02	6.618190e+02	CDT1
GO_Biological_Process_2021	regulation of chromosome organization (GO:0033044)	1/22	1.094805e-02	5.048269e-02	0	0	1.056561e+02	4.769943e+02	CDT1
GO_Biological_Process_2021	positive regulation of glucose import (GO:0046326)	1/26	1.292699e-02	5.364699e-02	0	0	8.873333e+01	3.858514e+02	FGF19
GO_Biological_Process_2021	negative regulation of receptor-mediated endocytosis (GO:0048261)	1/26	1.292699e-02	5.364699e-02	0	0	8.873333e+01	3.858514e+02	ANKRD13B
GO_Biological_Process_2021	positive regulation of glucose transmembrane transport (GO:0010828)	1/32	1.588871e-02	5.700402e-02	0	0	7.153763e+01	2.963194e+02	FGF19
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	1/32	1.588871e-02	5.700402e-02	0	0	7.153763e+01	2.963194e+02	CDT1
GO_Biological_Process_2021	regulation of receptor internalization (GO:0002090)	1/36	1.785874e-02	5.700402e-02	0	0	6.334921e+01	2.549972e+02	ANKRD13B
GO_Biological_Process_2021	negative regulation of cellular protein localization (GO:1903828)	1/36	1.785874e-02	5.700402e-02	0	0	6.334921e+01	2.549972e+02	CDT1
GO_Biological_Process_2021	regulation of glucose import (GO:0046324)	1/37	1.835069e-02	5.700402e-02	0	0	6.158642e+01	2.462279e+02	FGF19
GO_Biological_Process_2021	DNA replication initiation (GO:0006270)	1/38	1.884243e-02	5.700402e-02	0	0	5.991892e+01	2.379766e+02	CDT1
GO_Biological_Process_2021	negative regulation of cellular metabolic process (GO:0031324)	1/39	1.933394e-02	5.700402e-02	0	0	5.833918e+01	2.302002e+02	ANKRD13B
GO_Biological_Process_2021	DNA integrity checkpoint signaling (GO:0031570)	1/39	1.933394e-02	5.700402e-02	0	0	5.833918e+01	2.302002e+02	CDT1
GO_Biological_Process_2021	nervous system development (GO:0007399)	2/447	1.991707e-02	5.700402e-02	0	0	1.098034e+01	4.300096e+01	DPYSL5;FGF19
GO_Biological_Process_2021	regulation of DNA metabolic process (GO:0051052)	1/46	2.276831e-02	6.227156e-02	0	0	4.924691e+01	1.862708e+02	CDT1
GO_Biological_Process_2021	regulation of DNA binding (GO:0051101)	1/47	2.325805e-02	6.227156e-02	0	0	4.817391e+01	1.811871e+02	CDT1
GO_Biological_Process_2021	mitotic metaphase plate congression (GO:0007080)	1/51	2.521481e-02	6.393895e-02	0	0	4.431111e+01	1.630792e+02	CDT1
GO_Biological_Process_2021	negative regulation of cellular biosynthetic process (GO:0031327)	1/52	2.570344e-02	6.393895e-02	0	0	4.344009e+01	1.590398e+02	FGF19
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	1/53	2.619186e-02	6.393895e-02	0	0	4.260256e+01	1.551716e+02	CDT1
GO_Biological_Process_2021	pre-replicative complex assembly (GO:0036388)	1/64	3.154992e-02	7.481837e-02	0	0	3.514462e+01	1.214663e+02	CDT1
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	1/71	3.494576e-02	8.055680e-02	0	0	3.161905e+01	1.060490e+02	CDT1
